index_symbol,index_name,currency,exchange_code,provider_guess,market_scope_guess,category_group,category,summary,stock_index_scope,source_dataset,source_url
000008.SS,SSE Conglomerates Index,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,"The SSE Conglomerates Index aims to reflect the overall performance of companies listed on the Shanghai Stock Exchange (SSE) that operate across multiple industries or sectors. It provides investors with a benchmark for evaluating the performance of diversified businesses in the Chinese market. The index includes companies with significant operations in various sectors, offering a broad representation of the conglomerates landscape.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000019.SS,SSE Corporate Governance Index,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,The SSE Corporate Governance Index evaluates and measures the corporate governance practices of listed companies on the Shanghai Stock Exchange (SSE). It is designed to provide investors with a tool to assess the quality of corporate governance among Chinese companies. The index helps promote sound corporate governance principles and practices within the Chinese equity market.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000021.SS,SSE 180 Corporate Governance In,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,The SSE 180 Corporate Governance Index is designed to measure the performance of 180 Shanghai Stock Exchange (SSE) listed companies that demonstrate strong corporate governance practices. It aims to provide investors with a benchmark for companies adhering to high standards of governance. The index seeks to promote better corporate governance among listed companies in China.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000048.SS,SSE Social Responsibility Index,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,"The SSE Social Responsibility Index measures the performance of Shanghai Stock Exchange (SSE) listed companies that demonstrate strong social responsibility practices. It aims to provide a benchmark for investors interested in socially responsible investments within the Chinese market. The index considers various environmental, social, and governance (ESG) factors in its selection criteria.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000052.SS,SSE50 Fundamental Weighted Inde,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,"The SSE50 Fundamental Weighted Index is designed to measure the performance of the 50 largest and most liquid stocks listed on the Shanghai Stock Exchange (SSE), weighted by fundamental factors. These fundamental factors include metrics like book value, cash flow, sales, and dividends. This weighting scheme aims to provide an alternative to market capitalization weighting, potentially capturing value opportunities.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000053.SS,SSE180 Fundamental Weighted  In,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,"The SSE180 Fundamental Weighted Index measures the performance of 180 stocks listed on the Shanghai Stock Exchange (SSE), weighted by fundamental factors instead of market capitalization. The weighting uses fundamental factors such as book value, cash flow, sales, and dividends. It provides a different perspective compared to market-cap weighted indices.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000096.SS,SSE Downstream Industry Index I,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,"The SSE Downstream Industry Index I is designed to track the performance of companies listed on the Shanghai Stock Exchange (SSE) that are involved in downstream industries. This includes sectors like manufacturing, processing, and distribution. It provides a benchmark for investors interested in tracking the performance of downstream sectors within the Chinese economy.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000098.SS,SSEF 200 Index,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,"The SSEF 200 Index represents the largest 200 stocks traded on the Shanghai Stock Exchange, aiming to reflect the overall performance of the large-cap segment of the Chinese stock market. The index is weighted by free-float market capitalization. It is a benchmark for investors seeking exposure to the performance of major Chinese companies.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000099.SS,SSEF 300 Index,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,The SSEF 300 Index is designed to reflect the performance of 300 stocks listed on the Shanghai Stock Exchange (SSE). It represents a broad range of companies and sectors within the Chinese market. The index serves as a benchmark for investors interested in tracking the overall performance of the Shanghai stock market.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
000100.SS,SSEF 500 Index,CNY,SHH,Shanghai Stock Exchange,China,Equities,Equities,The SSEF 500 Index tracks the performance of 500 stocks listed on the Shanghai Stock Exchange (SSE). It aims to provide a comprehensive representation of the overall Chinese stock market. The index serves as a benchmark for investors looking to track the broader market performance of Chinese equities.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
